"Age","ghat"
9,98.343330209306
9.34170854271357,98.3433302093148
9.68341708542714,98.3433302092949
10.0251256281407,98.3433302093218
10.3668341708543,98.3433302092978
10.7085427135678,98.3433302093188
11.0502512562814,98.3433301474905
11.391959798995,98.299789750953
11.7336683417085,89.710902744636
12.0753768844221,89.7084967406368
12.4170854271357,89.7084968090221
12.7587939698492,89.7084978708465
13.1005025125628,89.708513576434
13.4422110552764,89.7087458725116
13.78391959799,89.712180326268
14.1256281407035,89.7626626808844
14.4673366834171,90.4459250319837
14.8090452261307,94.7191233664672
15.1507537688442,97.9465663666839
15.4924623115578,98.3216504259198
15.8341708542714,98.3482456800154
16.1758793969849,98.350049667749
16.5175879396985,98.3501648248282
16.8592964824121,98.0392958852017
17.2010050251256,92.094003992576
17.5427135678392,92.0915033202433
17.8844221105528,92.0915032679751
18.2261306532663,92.0915032679753
18.5678391959799,92.0915032679729
18.9095477386935,92.0915032679757
19.251256281407,92.0915032679717
19.5929648241206,92.0915032679734
19.9346733668342,92.0915032679753
20.2763819095477,92.0915032679751
20.6180904522613,92.0915032679718
20.9597989949749,92.0915032679732
21.3015075376884,92.0915032679745
21.643216080402,92.091503267976
21.9849246231156,92.0915032679754
22.3266331658291,92.0915032679722
22.6683417085427,92.0915032679753
23.0100502512563,92.0915032679729
23.3517587939699,92.0915032679761
23.6934673366834,92.0915032679749
24.035175879397,92.0915032679717
24.3768844221105,92.0914764310969
24.7185929648241,77.5612255510449
25.0603015075377,77.5612244897959
25.4020100502513,77.5612244897958
25.7437185929648,77.561224489796
26.0854271356784,77.5612244897958
26.427135678392,77.5612244897957
26.7688442211055,77.5612244897958
27.1105527638191,77.5612244897959
27.4522613065327,77.5612244897958
27.7939698492462,77.5612244897959
28.1356783919598,77.5612244897959
28.4773869346734,77.5612244897959
28.8190954773869,77.5612244897958
29.1608040201005,77.5612244897961
29.5025125628141,77.561224489796
29.8442211055276,77.561224489796
30.1859296482412,77.5612244897959
30.5276381909548,77.561224489796
30.8693467336683,77.5612244897958
31.2110552763819,77.5612244897958
31.5527638190955,77.5612244897959
31.894472361809,77.5612244897959
32.2361809045226,77.5612244897958
32.5778894472362,77.5612244890451
32.9195979899498,77.5534660120604
33.2613065326633,76.9655215525175
33.6030150753769,76.9655172413798
33.9447236180904,76.9655172413792
34.286432160804,76.9655172413794
34.6281407035176,76.9655172413793
34.9698492462311,76.9655172413792
35.3115577889447,76.9655172413793
35.6532663316583,76.9655172413794
35.9949748743719,76.9655172413793
36.3366834170854,76.9655172413793
36.678391959799,76.9655172413793
37.0201005025126,76.9655172413793
37.3618090452261,76.9655172413794
37.7035175879397,76.9655172413792
38.0452261306533,76.9655172413793
38.3869346733668,76.9655172413793
38.7286432160804,76.9655172413792
39.070351758794,76.9655172413794
39.4120603015075,76.9655172413793
39.7537688442211,76.9655172724153
40.0954773869347,77.3086805092911
40.4371859296482,77.3103448275855
40.7788944723618,77.3103448275862
41.1206030150754,77.3103448275862
41.4623115577889,77.3103448275862
41.8040201005025,77.3103448275862
42.1457286432161,77.3103448275862
42.4874371859296,77.3103448275862
42.8291457286432,77.3103448275876
43.1708542713568,77.3103448279974
43.5125628140703,77.3103449175858
43.8542713567839,77.3103645194233
44.1959798994975,77.314652041534
44.5376884422111,78.2118243278054
44.8793969849246,96.1274345925545
45.2211055276382,98.0075628173573
45.5628140703518,98.0170196372913
45.9045226130653,98.0170628831134
46.2462311557789,98.0170630807904
46.5879396984925,98.017063081691
46.929648241206,98.0170630816921
47.2713567839196,98.0170630816986
47.6130653266332,98.0170630816968
47.9547738693467,98.0170630817088
48.2964824120603,98.0170724966227
48.6381909547739,99.5453362378154
48.9798994974874,99.9999991666999
49.321608040201,99.9999999999917
49.6633165829146,99.9999999999999
50.0050251256281,100
50.3467336683417,100
50.6884422110553,100
51.0301507537688,100
51.3718592964824,100
51.713567839196,100
52.0552763819095,99.9999999999299
52.3969849246231,99.9999968359142
52.7386934673367,99.8511904536799
53.0804020100502,91.4534099017593
53.4221105527638,91.4433211264211
53.7638190954774,91.4433209153831
54.1055276381909,91.4433209153822
54.4472361809045,91.4433209153794
54.7889447236181,91.4433209153792
55.1306532663317,91.4433209153818
55.4723618090452,91.4433209153775
55.8140703517588,91.4433209153781
56.1557788944724,91.4433209153839
56.4974874371859,91.4433209153806
56.8391959798995,91.4433209153822
57.1809045226131,91.4433209153769
57.5226130653266,91.4433209153823
57.8643216080402,91.4433209153829
58.2060301507538,91.4433209153792
58.5477386934673,91.4433209153812
58.8894472361809,91.443320915377
59.2311557788945,91.4433209153787
59.572864321608,91.4433209153788
59.9145728643216,91.4433209153782
60.2562814070352,91.4433209154437
60.5979899497487,99.8391946421889
60.9396984924623,100
61.2814070351759,100
61.6231155778894,100
61.964824120603,99.9999999999999
62.3065326633166,100
62.6482412060301,100
62.9899497487437,99.9999999999999
63.3316582914573,99.9999999999999
63.6733668341708,99.9999999999999
64.0150753768844,100
64.356783919598,100
64.6984924623115,100
65.0402010050251,100
65.3819095477387,100
65.7236180904522,100
66.0653266331658,100
66.4070351758794,100
66.748743718593,100
67.0904522613065,100
67.4321608040201,100
67.7738693467337,100
68.1155778894472,100
68.4572864321608,100
68.7989949748744,100
69.1407035175879,100
69.4824120603015,100
69.8241206030151,100
70.1658291457286,100
70.5075376884422,99.9999999999999
70.8492462311558,99.999185239727
71.1909547738694,99.0513026074087
71.5326633165829,99.0513026052131
71.8743718592965,99.0513026052125
72.21608040201,99.0513026052048
72.5577889447236,99.0513026052125
72.8994974874372,99.0513026052081
73.2412060301507,99.0513026052105
73.5829145728643,99.05130260515
73.9246231155779,99.0513026043491
74.2663316582914,99.0513025925315
74.608040201005,99.0513024176506
74.9497487437186,99.0512998309551
75.2914572864322,99.0512615712297
75.6331658291457,99.0506957241748
75.9748743718593,99.0423384404618
76.3165829145729,98.9213396329119
76.6582914572864,97.5646456073315
77,93.9986280943585
